geo,disseminated_source_regime,documented_estimation_method,documented_coverage,official_evidence_source,official_evidence_locator,official_evidence_basis,confidence,unresolved_year_level_boundary,access_date,years_n,flag_i_n,blank_n,other_flag_n
IT,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not compiled/reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_it.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,National metadata indicate that Table I is not compiled; central Eurostat metadata specify Python-tool estimates for non-reporters.,HIGH,,2026-08-12,14,14,0,0
LT,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_lt.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,National metadata document Table I through 2023 and use of Eurostat’s country RME tool.,HIGH,,2026-08-12,14,0,14,0
LU,Country-reported,Eurostat country RME tool,country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_lu.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,National metadata document a country Table I series through 2024 and current use of Eurostat’s country RME tool with STATEC input data.,HIGH,,2026-08-12,14,0,14,0
LV,Mixed/changed over 2010–2023,"Mixed or changed; Eurostat country RME tool documented for part of coverage, with other years not fully specified",reported through 2012; later Eurostat estimates,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_lv.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context",National Table I is documented only through 2012 and used the Eurostat country RME tool; most of 2010–2023 is therefore supplied through a different Eurostat-estimation route.,HIGH,Exact year-by-year production provenance is not asserted where public metadata do not identify it.,2026-08-12,14,14,0,0
MT,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool; no own model,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_mt.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,"National metadata document Table I through 2023, use of Eurostat’s country RME tool and explicitly state that no custom-built RME model is used.",HIGH,,2026-08-12,14,0,14,0
NL,Mixed/changed over 2010–2023,Mixed or changed; documented national method for part of coverage and/or Eurostat estimate route for other years,reported subset uses own model; remaining years mixed with Eurostat route,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_nl.htm,"National SIMS metadata: Table I reported-year coverage and available compilation-method statement; central env_ac_rme metadata sections 3.2, 15.1 and 18.5 for mixed reporting/Eurostat-estimate context","National metadata document a reported subset using the Dutch SAMCA/simplified-SNAC approach linked to PBL-FIGARO rather than the common country tool, while other years in the 2010–2023 dissemination require Eurostat estimation.",HIGH,Exact year-by-year production provenance is not asserted where public metadata do not identify it.,2026-08-12,14,14,0,0
PL,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_pl.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,National metadata indicate that Table I is not reported; central Eurostat metadata specify Python-tool estimates for non-reporters.,HIGH,,2026-08-12,14,14,0,0
PT,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_pt.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,National metadata document Table I through 2023 using Eurostat’s country RME tool and Eurostat input data.,HIGH,,2026-08-12,14,0,14,0
RO,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool with documented alterations,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_ro.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,National metadata document Table I through 2023 using Eurostat’s country RME tool with stated country-specific alterations. The public metadata do not support treating these alterations as a fully separate national model.,MEDIUM,Country-specific implementation detail beyond the stated category remains unresolved where not explicitly documented.,2026-08-12,14,0,14,0
SE,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_se.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,National metadata indicate that Table I is not reported; central Eurostat metadata specify Python-tool estimates for non-reporters.,HIGH,,2026-08-12,14,14,0,0
SI,Country-reported,Eurostat country RME tool,2008–2023 country-reported; Eurostat tool,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_si.htm,National SIMS metadata: Table I coverage and country-RME-tool compilation-method statement; central env_ac_rme metadata sections 15.1 and 18.5,National metadata document Table I through 2023 and use of Eurostat’s country RME tool.,HIGH,,2026-08-12,14,0,14,0
SK,Eurostat-estimated,Python country RME tool (Eurostat estimate route),Table I not reported,https://ec.europa.eu/eurostat/cache/metadata/EN/env_ac_mfa_simsmf_sk.htm,National SIMS metadata: Table I non-reporting/compilation statement; central env_ac_rme metadata sections 3.2 and 18.5 for Eurostat non-reporter estimates,National metadata indicate that Table I is unavailable/not reported; central Eurostat metadata specify Python-tool estimates for non-reporters.,HIGH,,2026-08-12,14,14,0,0
